,FIPS County,State,County,Sites
0,001,Alabama,Autauga,5.0
1,003,Alabama,Baldwin,24.0
2,005,Alabama,Barbour,4.0
3,007,Alabama,Bibb,2.0
4,009,Alabama,Blount,3.0
5,011,Alabama,Bullock,2.0
6,013,Alabama,Butler,1.0
7,015,Alabama,Calhoun,26.0
8,017,Alabama,Chambers,6.0
9,019,Alabama,Cherokee,8.0
10,021,Alabama,Chilton,3.0
11,023,Alabama,Choctaw,
12,025,Alabama,Clarke,3.0
13,027,Alabama,Clay,
14,029,Alabama,Cleburne,3.0
15,031,Alabama,Coffee,4.0
16,033,Alabama,Colbert,5.0
17,035,Alabama,Conecuh,1.0
18,037,Alabama,Coosa,
19,039,Alabama,Covington,4.0
20,041,Alabama,Crenshaw,1.0
21,043,Alabama,Cullman,11.0
22,045,Alabama,Dale,5.0
23,047,Alabama,Dallas,3.0
24,051,Alabama,Elmore,10.0
25,053,Alabama,Escambia,4.0
26,055,Alabama,Etowah,22.0
27,057,Alabama,Fayette,1.0
28,059,Alabama,Franklin,2.0
29,061,Alabama,Geneva,1.0
30,063,Alabama,Greene,
31,065,Alabama,Hale,1.0
32,067,Alabama,Henry,
33,069,Alabama,Houston,16.0
34,071,Alabama,Jackson,2.0
35,073,Alabama,Jefferson,78.0
36,075,Alabama,Lamar,
37,077,Alabama,Lauderdale,9.0
38,079,Alabama,Lawrence,1.0
39,081,Alabama,Lee,26.0
40,083,Alabama,Limestone,5.0
41,085,Alabama,Lowndes,1.0
42,087,Alabama,Macon,2.0
43,089,Alabama,Madison,50.0
44,091,Alabama,Marengo,3.0
45,093,Alabama,Marion,2.0
46,095,Alabama,Marshall,8.0
47,097,Alabama,Mobile,52.0
48,099,Alabama,Monroe,2.0
49,101,Alabama,Montgomery,29.0
50,103,Alabama,Morgan,15.0
51,105,Alabama,Perry,
52,107,Alabama,Pickens,2.0
53,109,Alabama,Pike,3.0
54,111,Alabama,Randolph,1.0
55,113,Alabama,Russell,6.0
56,117,Alabama,Shelby,23.0
57,119,Alabama,Sumter,
58,121,Alabama,Talladega,6.0
59,123,Alabama,Tallapoosa,5.0
60,125,Alabama,Tuscaloosa,29.0
61,127,Alabama,Walker,4.0
62,129,Alabama,Washington,
63,131,Alabama,Wilcox,2.0
64,133,Alabama,Winston,2.0
65,001,Arizona,Apache,9.0
66,003,Arizona,Cochise,13.0
67,005,Arizona,Coconino,14.0
68,007,Arizona,Gila,13.0
69,009,Arizona,Graham,5.0
70,011,Arizona,Greenlee,2.0
71,012,Arizona,La Paz,2.0
72,013,Arizona,Maricopa,484.0
73,015,Arizona,Mohave,34.0
74,017,Arizona,Navajo,20.0
75,019,Arizona,Pima,123.0
76,021,Arizona,Pinal,44.0
77,023,Arizona,Santa Cruz,1.0
78,025,Arizona,Yavapai,26.0
79,027,Arizona,Yuma,19.0
80,003,Arkansas,Ashley,2.0
81,005,Arkansas,Baxter,6.0
82,007,Arkansas,Benton,25.0
83,009,Arkansas,Boone,5.0
84,011,Arkansas,Bradley,2.0
85,013,Arkansas,Calhoun,1.0
86,015,Arkansas,Carroll,6.0
87,017,Arkansas,Chicot,1.0
88,019,Arkansas,Clark,3.0
89,021,Arkansas,Clay,2.0
90,023,Arkansas,Cleburne,5.0
91,025,Arkansas,Cleveland,1.0
92,027,Arkansas,Columbia,3.0
93,029,Arkansas,Conway,4.0
94,031,Arkansas,Craighead,20.0
95,033,Arkansas,Crawford,8.0
96,035,Arkansas,Crittenden,9.0
97,037,Arkansas,Cross,4.0
98,039,Arkansas,Dallas,2.0
99,041,Arkansas,Desha,2.0
100,043,Arkansas,Drew,4.0
101,045,Arkansas,Faulkner,18.0
102,047,Arkansas,Franklin,5.0
103,049,Arkansas,Fulton,2.0
104,051,Arkansas,Garland,21.0
105,053,Arkansas,Grant,2.0
106,055,Arkansas,Greene,7.0
107,057,Arkansas,Hempstead,3.0
108,059,Arkansas,Hot Spring,4.0
109,061,Arkansas,Howard,3.0
110,063,Arkansas,Independence,7.0
111,065,Arkansas,Izard,2.0
112,067,Arkansas,Jackson,5.0
113,069,Arkansas,Jefferson,9.0
114,071,Arkansas,Johnson,4.0
115,073,Arkansas,Lafayette,1.0
116,075,Arkansas,Lawrence,4.0
117,077,Arkansas,Lee,1.0
118,079,Arkansas,Lincoln,1.0
119,081,Arkansas,Little River,2.0
120,083,Arkansas,Logan,6.0
121,085,Arkansas,Lonoke,10.0
122,087,Arkansas,Madison,3.0
123,089,Arkansas,Marion,2.0
124,091,Arkansas,Miller,4.0
125,093,Arkansas,Mississippi,7.0
126,095,Arkansas,Monroe,1.0
127,099,Arkansas,Nevada,1.0
128,101,Arkansas,Newton,1.0
129,103,Arkansas,Ouachita,4.0
130,105,Arkansas,Perry,1.0
131,107,Arkansas,Phillips,2.0
132,109,Arkansas,Pike,2.0
133,111,Arkansas,Poinsett,5.0
134,113,Arkansas,Polk,4.0
135,115,Arkansas,Pope,10.0
136,117,Arkansas,Prairie,1.0
137,119,Arkansas,Pulaski,58.0
138,121,Arkansas,Randolph,4.0
139,125,Arkansas,Saline,14.0
140,127,Arkansas,Scott,3.0
141,129,Arkansas,Searcy,2.0
142,131,Arkansas,Sebastian,21.0
143,133,Arkansas,Sevier,2.0
144,135,Arkansas,Sharp,4.0
145,137,Arkansas,Stone,2.0
146,139,Arkansas,Union,3.0
147,141,Arkansas,Van Buren,5.0
148,143,Arkansas,Washington,23.0
149,145,Arkansas,White,10.0
150,147,Arkansas,Woodruff,1.0
151,149,Arkansas,Yell,6.0
152,001,California,Alameda,116.0
153,003,California,Alpine,1.0
154,005,California,Amador,5.0
155,007,California,Butte,19.0
156,009,California,Calaveras,3.0
157,011,California,Colusa,1.0
158,013,California,Contra Costa,94.0
159,015,California,Del Norte,6.0
160,017,California,El Dorado,21.0
