countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
1,Alabama,Autauga County,42323.0,41521.0,4366.0,4902.0,511.0,625.0,511.0,625.0,1
3,Alabama,Baldwin County,155898.0,158919.0,19085.0,19391.0,1780.0,2090.0,1780.0,2090.0,1
5,Alabama,Barbour County,14694.0,13928.0,2194.0,2337.0,261.0,310.0,261.0,310.0,1
7,Alabama,Bibb County,14768.0,14024.0,1824.0,2097.0,225.0,282.0,225.0,282.0,1
9,Alabama,Blount County,40026.0,40288.0,6663.0,6156.0,651.0,701.0,651.0,701.0,1
11,Alabama,Bullock County,6023.0,5541.0,752.0,782.0,103.0,115.0,103.0,115.0,1
13,Alabama,Butler County,13410.0,12735.0,1755.0,1985.0,215.0,260.0,215.0,260.0,1
15,Alabama,Calhoun County,79683.0,77010.0,10767.0,11431.0,1105.0,1279.0,1105.0,1279.0,1
17,Alabama,Chambers County,22948.0,21801.0,3178.0,3321.0,386.0,425.0,386.0,425.0,1
19,Alabama,Cherokee County,17294.0,17126.0,2580.0,2524.0,289.0,328.0,289.0,328.0,1
21,Alabama,Chilton County,31377.0,30385.0,4995.0,5473.0,538.0,653.0,538.0,653.0,1
23,Alabama,Choctaw County,8345.0,7974.0,1158.0,1157.0,133.0,152.0,133.0,152.0,1
25,Alabama,Clarke County,16276.0,15303.0,2209.0,2429.0,270.0,305.0,270.0,305.0,1
27,Alabama,Clay County,8818.0,8599.0,1480.0,1444.0,171.0,196.0,171.0,196.0,1
29,Alabama,Cleburne County,10263.0,10131.0,1506.0,1581.0,174.0,200.0,174.0,200.0,1
31,Alabama,Coffee County,37376.0,37183.0,5604.0,5900.0,549.0,619.0,549.0,619.0,1
33,Alabama,Colbert County,39165.0,38875.0,4721.0,4539.0,535.0,591.0,535.0,591.0,1
35,Alabama,Conecuh County,7967.0,7661.0,1112.0,982.0,137.0,142.0,137.0,142.0,1
37,Alabama,Coosa County,7005.0,6737.0,891.0,893.0,117.0,130.0,117.0,130.0,1
39,Alabama,Covington County,25182.0,24853.0,3608.0,3419.0,383.0,432.0,383.0,432.0,1
41,Alabama,Crenshaw County,9519.0,9332.0,1471.0,1383.0,170.0,177.0,170.0,177.0,1
43,Alabama,Cullman County,58361.0,57939.0,9008.0,9486.0,876.0,1023.0,876.0,1023.0,1
45,Alabama,Dale County,34939.0,33375.0,4777.0,5364.0,545.0,640.0,545.0,640.0,1
47,Alabama,Dallas County,26105.0,24145.0,3263.0,3137.0,397.0,410.0,397.0,410.0,1
49,Alabama,DeKalb County,47148.0,46573.0,10814.0,10945.0,925.0,1074.0,925.0,1074.0,1
51,Alabama,Elmore County,59048.0,57418.0,5781.0,7016.0,663.0,841.0,663.0,841.0,1
