county_state,countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
"Autauga County, AL",1,AL,Autauga County,42323.0,41521.0,4366.0,4902.0,511.0,625.0,511.0,625.0,1
"Baldwin County, AL",3,AL,Baldwin County,155898.0,158919.0,19085.0,19391.0,1780.0,2090.0,1780.0,2090.0,1
"Barbour County, AL",5,AL,Barbour County,14694.0,13928.0,2194.0,2337.0,261.0,310.0,261.0,310.0,1
"Bibb County, AL",7,AL,Bibb County,14768.0,14024.0,1824.0,2097.0,225.0,282.0,225.0,282.0,1
"Blount County, AL",9,AL,Blount County,40026.0,40288.0,6663.0,6156.0,651.0,701.0,651.0,701.0,1
"Bullock County, AL",11,AL,Bullock County,6023.0,5541.0,752.0,782.0,103.0,115.0,103.0,115.0,1
"Butler County, AL",13,AL,Butler County,13410.0,12735.0,1755.0,1985.0,215.0,260.0,215.0,260.0,1
"Calhoun County, AL",15,AL,Calhoun County,79683.0,77010.0,10767.0,11431.0,1105.0,1279.0,1105.0,1279.0,1
"Chambers County, AL",17,AL,Chambers County,22948.0,21801.0,3178.0,3321.0,386.0,425.0,386.0,425.0,1
"Cherokee County, AL",19,AL,Cherokee County,17294.0,17126.0,2580.0,2524.0,289.0,328.0,289.0,328.0,1
"Chilton County, AL",21,AL,Chilton County,31377.0,30385.0,4995.0,5473.0,538.0,653.0,538.0,653.0,1
"Choctaw County, AL",23,AL,Choctaw County,8345.0,7974.0,1158.0,1157.0,133.0,152.0,133.0,152.0,1
"Clarke County, AL",25,AL,Clarke County,16276.0,15303.0,2209.0,2429.0,270.0,305.0,270.0,305.0,1
"Clay County, AL",27,AL,Clay County,8818.0,8599.0,1480.0,1444.0,171.0,196.0,171.0,196.0,1
"Cleburne County, AL",29,AL,Cleburne County,10263.0,10131.0,1506.0,1581.0,174.0,200.0,174.0,200.0,1
"Coffee County, AL",31,AL,Coffee County,37376.0,37183.0,5604.0,5900.0,549.0,619.0,549.0,619.0,1
"Colbert County, AL",33,AL,Colbert County,39165.0,38875.0,4721.0,4539.0,535.0,591.0,535.0,591.0,1
"Conecuh County, AL",35,AL,Conecuh County,7967.0,7661.0,1112.0,982.0,137.0,142.0,137.0,142.0,1
