COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
1,Alabama,Autauga County,1,55869,58877,59095
3,Alabama,Baldwin County,1,223234,233140,239294
5,Alabama,Barbour County,1,24686,25180,24964
7,Alabama,Bibb County,1,22394,22223,22477
9,Alabama,Blount County,1,57826,59081,59041
11,Alabama,Bullock County,1,10101,10309,10320
13,Alabama,Butler County,1,19448,19045,18884
15,Alabama,Calhoun County,1,113605,116266,115972
17,Alabama,Chambers County,1,33254,34678,34541
19,Alabama,Cherokee County,1,26196,24958,24996
21,Alabama,Chilton County,1,44428,45024,45274
23,Alabama,Choctaw County,1,12589,12619,12533
25,Alabama,Clarke County,1,23622,22995,22760
27,Alabama,Clay County,1,13235,14193,14190
29,Alabama,Cleburne County,1,14910,15035,15103
31,Alabama,Coffee County,1,52342,53565,54174
33,Alabama,Colbert County,1,55241,57236,57474
35,Alabama,Conecuh County,1,12067,11552,11328
37,Alabama,Coosa County,1,10663,10383,10450
39,Alabama,Covington County,1,37049,37469,37524
41,Alabama,Crenshaw County,1,13772,13157,13083
43,Alabama,Cullman County,1,83768,88044,89496
45,Alabama,Dale County,1,49172,49214,49342
47,Alabama,Dallas County,1,37196,38190,37619
49,Alabama,DeKalb County,1,71513,71630,71813
51,Alabama,Elmore County,1,81209,88116,89304
53,Alabama,Escambia County,1,36633,36665,36699
55,Alabama,Etowah County,1,102268,103393,103162
57,Alabama,Fayette County,1,16302,16307,16148
59,Alabama,Franklin County,1,31362,32063,32013
61,Alabama,Geneva County,1,26271,26675,26701
63,Alabama,Greene County,1,8111,7704,7629
65,Alabama,Hale County,1,14651,14792,14754
67,Alabama,Henry County,1,17205,17167,17459
69,Alabama,Houston County,1,105882,107190,107458
71,Alabama,Jackson County,1,51626,52519,52773
73,Alabama,Jefferson County,1,658573,673341,667820
75,Alabama,Lamar County,1,13805,13943,13689
77,Alabama,Lauderdale County,1,92729,93610,94043
79,Alabama,Lawrence County,1,32924,33063,33090
81,Alabama,Lee County,1,164542,174601,177218
83,Alabama,Limestone County,1,98915,104322,107517
85,Alabama,Lowndes County,1,9726,10297,9965
87,Alabama,Macon County,1,18068,19476,18895
89,Alabama,Madison County,1,372909,389696,395211
91,Alabama,Marengo County,1,18863,19264,18996
93,Alabama,Marion County,1,29709,29287,29246
95,Alabama,Marshall County,1,96774,97608,98228
97,Alabama,Mobile County,1,413210,414250,413073
99,Alabama,Monroe County,1,20733,19723,19648
101,Alabama,Montgomery County,1,226486,228448,227434
103,Alabama,Morgan County,1,119679,123336,123668
105,Alabama,Perry County,1,8923,8452,8355
107,Alabama,Pickens County,1,19930,19062,18801
109,Alabama,Pike County,1,33114,32981,32991
111,Alabama,Randolph County,1,22722,21971,21989
113,Alabama,Russell County,1,57961,59226,58722
115,Alabama,St. Clair County,1,89512,91333,92748
117,Alabama,Shelby County,1,217702,223708,226902
119,Alabama,Sumter County,1,12427,12295,12164
121,Alabama,Talladega County,1,79978,82069,81524
123,Alabama,Tallapoosa County,1,40367,41229,41023
125,Alabama,Tuscaloosa County,1,209355,227153,227007
127,Alabama,Walker County,1,63521,65100,64818
129,Alabama,Washington County,1,16326,15296,15147
131,Alabama,Wilcox County,1,10373,10518,10446
133,Alabama,Winston County,1,23629,23491,23652
13,Alaska,Aleutians East Borough,2,3337,3418,3398
16,Alaska,Aleutians West Census Area,2,5634,5206,5059
20,Alaska,Anchorage Municipality,2,288000,290637,288121
50,Alaska,Bethel Census Area,2,18386,18648,18557
60,Alaska,Bristol Bay Borough,2,836,831,838
63,Alaska,Chugach Census Area,2,0,7073,6941
66,Alaska,Copper River Census Area,2,0,2616,2630
68,Alaska,Denali Borough,2,2097,1611,1593
70,Alaska,Dillingham Census Area,2,4916,4839,4772
90,Alaska,Fairbanks North Star Borough,2,96849,95286,95593
100,Alaska,Haines Borough,2,2530,2085,2071
105,Alaska,Hoonah-Angoon Census Area,2,2148,2361,2332
110,Alaska,Juneau City and Borough,2,31974,32195,31973
122,Alaska,Kenai Peninsula Borough,2,58708,58893,59767
130,Alaska,Ketchikan Gateway Borough,2,13901,13902,13754
150,Alaska,Kodiak Island Borough,2,12998,13023,12787
158,Alaska,Kusilvak Census Area,2,8314,8357,8360
164,Alaska,Lake and Peninsula Borough,2,1592,1454,1416
170,Alaska,Matanuska-Susitna Borough,2,108317,107460,110686
180,Alaska,Nome Census Area,2,10004,10032,9865
185,Alaska,North Slope Borough,2,9832,10993,10972
188,Alaska,Northwest Arctic Borough,2,7621,7784,7560
195,Alaska,Petersburg Borough,2,3266,3401,3356
198,Alaska,Prince of Wales-Hyder Census Area,2,6203,5725,5729
220,Alaska,Sitka City and Borough,2,8493,8428,8407
230,Alaska,Skagway Municipality,2,1183,1239,1132
240,Alaska,Southeast Fairbanks Census Area,2,6893,6831,6970
275,Alaska,Wrangell City and Borough,2,2502,2130,2055
282,Alaska,Yakutat City and Borough,2,579,683,704
290,Alaska,Yukon-Koyukuk Census Area,2,5230,5300,5275
1,Arizona,Apache County,4,71887,65897,65623
3,Arizona,Cochise County,4,125922,125398,126050
5,Arizona,Coconino County,4,143476,145116,145052
7,Arizona,Gila County,4,54018,53306,53589
9,Arizona,Graham County,4,38837,38614,39050
11,Arizona,Greenlee County,4,9498,9522,9404
12,Arizona,La Paz County,4,21108,16580,16408
13,Arizona,Maricopa County,4,4485414,4438342,4496588
15,Arizona,Mohave County,4,212181,214070,217692
