county_state,COUNTY,STNAME,CTYNAME,STATE,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
"Autauga County, AL",1,AL,Autauga County,1,55869,58877,59095
"Baldwin County, AL",3,AL,Baldwin County,1,223234,233140,239294
"Barbour County, AL",5,AL,Barbour County,1,24686,25180,24964
"Bibb County, AL",7,AL,Bibb County,1,22394,22223,22477
"Blount County, AL",9,AL,Blount County,1,57826,59081,59041
"Bullock County, AL",11,AL,Bullock County,1,10101,10309,10320
"Butler County, AL",13,AL,Butler County,1,19448,19045,18884
"Calhoun County, AL",15,AL,Calhoun County,1,113605,116266,115972
"Chambers County, AL",17,AL,Chambers County,1,33254,34678,34541
"Cherokee County, AL",19,AL,Cherokee County,1,26196,24958,24996
"Chilton County, AL",21,AL,Chilton County,1,44428,45024,45274
"Choctaw County, AL",23,AL,Choctaw County,1,12589,12619,12533
"Clarke County, AL",25,AL,Clarke County,1,23622,22995,22760
"Clay County, AL",27,AL,Clay County,1,13235,14193,14190
"Cleburne County, AL",29,AL,Cleburne County,1,14910,15035,15103
"Coffee County, AL",31,AL,Coffee County,1,52342,53565,54174
"Colbert County, AL",33,AL,Colbert County,1,55241,57236,57474
"Conecuh County, AL",35,AL,Conecuh County,1,12067,11552,11328
"Coosa County, AL",37,AL,Coosa County,1,10663,10383,10450
"Covington County, AL",39,AL,Covington County,1,37049,37469,37524
"Crenshaw County, AL",41,AL,Crenshaw County,1,13772,13157,13083
"Cullman County, AL",43,AL,Cullman County,1,83768,88044,89496
"Dale County, AL",45,AL,Dale County,1,49172,49214,49342
"Dallas County, AL",47,AL,Dallas County,1,37196,38190,37619
"DeKalb County, AL",49,AL,DeKalb County,1,71513,71630,71813
"Elmore County, AL",51,AL,Elmore County,1,81209,88116,89304
"Escambia County, AL",53,AL,Escambia County,1,36633,36665,36699
"Etowah County, AL",55,AL,Etowah County,1,102268,103393,103162
"Fayette County, AL",57,AL,Fayette County,1,16302,16307,16148
"Franklin County, AL",59,AL,Franklin County,1,31362,32063,32013
"Geneva County, AL",61,AL,Geneva County,1,26271,26675,26701
"Greene County, AL",63,AL,Greene County,1,8111,7704,7629
"Hale County, AL",65,AL,Hale County,1,14651,14792,14754
"Henry County, AL",67,AL,Henry County,1,17205,17167,17459
"Houston County, AL",69,AL,Houston County,1,105882,107190,107458
"Jackson County, AL",71,AL,Jackson County,1,51626,52519,52773
"Jefferson County, AL",73,AL,Jefferson County,1,658573,673341,667820
"Lamar County, AL",75,AL,Lamar County,1,13805,13943,13689
"Lauderdale County, AL",77,AL,Lauderdale County,1,92729,93610,94043
"Lawrence County, AL",79,AL,Lawrence County,1,32924,33063,33090
"Lee County, AL",81,AL,Lee County,1,164542,174601,177218
"Limestone County, AL",83,AL,Limestone County,1,98915,104322,107517
"Lowndes County, AL",85,AL,Lowndes County,1,9726,10297,9965
"Macon County, AL",87,AL,Macon County,1,18068,19476,18895
"Madison County, AL",89,AL,Madison County,1,372909,389696,395211
"Marengo County, AL",91,AL,Marengo County,1,18863,19264,18996
"Marion County, AL",93,AL,Marion County,1,29709,29287,29246
"Marshall County, AL",95,AL,Marshall County,1,96774,97608,98228
"Mobile County, AL",97,AL,Mobile County,1,413210,414250,413073
"Monroe County, AL",99,AL,Monroe County,1,20733,19723,19648
"Montgomery County, AL",101,AL,Montgomery County,1,226486,228448,227434
"Morgan County, AL",103,AL,Morgan County,1,119679,123336,123668
"Perry County, AL",105,AL,Perry County,1,8923,8452,8355
"Pickens County, AL",107,AL,Pickens County,1,19930,19062,18801
"Pike County, AL",109,AL,Pike County,1,33114,32981,32991
"Randolph County, AL",111,AL,Randolph County,1,22722,21971,21989
"Russell County, AL",113,AL,Russell County,1,57961,59226,58722
