County Name/State Abbreviation,Unemployemnt_2015.0,Unemployemnt_2016.0,Unemployemnt_2017.0,Unemployemnt_2018.0,Unemployemnt_2019.0,Unemployemnt_2020.0,Unemployemnt_2021.0
"Abbeville County, SC",6.8,5.4,4.5,3.9,3.3,6.5     ,4.5
"Acadia Parish, LA",6.8,7.4,5.9,5.3,5.1,7.8     ,4.9
"Accomack County, VA",5.4,4.8,4.5,3.8,3.5,6.5     ,4.3
"Ada County, ID",3.4,3.2,2.8,2.5,2.6,5.5     ,3.3
"Adair County, IA",3.2,2.9,2.8,2.4,2.2,3.8     ,3.1
"Adair County, KY",7.1,6.5,5.9,4.8,5.1,7.0     ,5.0
"Adair County, MO",5.7,5.7,4.2,3.5,3.7,5.1     ,4.3
"Adair County, OK",5.9,5.6,4.7,4.0,3.9,5.9     ,3.7
"Adams County, CO",4.2,3.4,2.8,3.2,2.8,7.6     ,6.2
"Adams County, IA",2.8,2.6,2.3,1.9,1.7,3.7     ,3.0
"Adams County, ID",7.1,6.7,5.7,5.5,6.9,9.6     ,6.6
"Adams County, IL",5.0,4.8,3.9,3.8,3.3,6.4     ,3.9
"Adams County, IN",3.8,3.5,2.6,2.6,2.7,5.6     ,2.2
"Adams County, MS",8.1,8.4,7.5,6.5,7.1,10.7     ,8.2
"Adams County, ND",2.9,2.6,2.5,1.8,1.9,3.8     ,3.4
"Adams County, NE",3.1,3.1,3.1,3.0,3.2,3.9     ,2.4
"Adams County, OH",7.9,7.6,7.2,7.0,6.9,9.3     ,6.3
"Adams County, PA",4.3,3.9,3.7,3.4,3.4,6.9     ,4.4
"Adams County, WA",6.7,6.3,5.6,5.4,5.7,7.2     ,5.5
"Adams County, WI",7.1,5.9,5.0,4.7,4.8,9.6     ,6.2
"Addison County, VT",3.4,2.9,2.8,2.5,2.3,4.6     ,2.8
"Aiken County, SC",5.8,4.9,4.0,3.3,2.8,4.9     ,3.4
"Aitkin County, MN",6.7,7.0,6.3,6.0,6.5,8.4     ,4.7
"Alachua County, FL",4.7,4.3,3.9,3.4,3.0,5.8     ,3.7
"Alamance County, NC",5.3,4.7,4.3,3.8,3.8,7.0     ,4.8
"Alameda County, CA",4.8,4.3,3.7,3.1,3.0,9.0     ,6.1
"Alamosa County, CO",5.0,3.9,3.2,3.7,3.3,6.1     ,5.5
"Albany County, NY",4.4,4.1,4.2,3.7,3.5,6.9     ,4.4
"Albany County, WY",3.1,3.2,3.0,3.3,3.2,3.7     ,3.3
"Albemarle County, VA",3.8,3.5,3.3,2.7,2.4,5.3     ,3.2
"Alcona County, MI",8.1,7.7,7.1,6.6,6.4,10.4     ,7.1
"Alcorn County, MS",5.7,5.3,4.5,4.3,4.7,6.1     ,4.8
"Aleutians East Borough, AK",3.1,2.5,2.3,2.8,2.3,4.1     ,2.3
"Aleutians West Census Area, AK",3.7,3.2,3.4,3.2,3.1,4.7     ,3.6
"Alexander County, IL",9.2,9.3,8.4,8.1,6.1,10.4     ,8.1
"Alexander County, NC",4.9,4.3,3.6,3.2,3.3,7.3     ,4.2
"Alexandria city, VA",3.2,2.9,2.8,2.2,2.1,6.0     ,3.8
"Alfalfa County, OK",2.9,3.2,2.5,2.1,1.9,3.7     ,2.3
"Alger County, MI",8.6,8.3,8.2,8.0,7.9,11.3     ,8.0
"Allamakee County, IA",4.8,4.9,3.9,3.1,3.3,5.0     ,4.6
"Allegan County, MI",4.2,3.9,3.7,3.3,3.2,7.6     ,4.7
"Allegany County, MD",6.8,6.0,5.5,5.1,5.0,7.8     ,6.4
"Allegany County, NY",6.5,6.4,6.6,5.6,5.3,7.7     ,5.0
"Alleghany County, NC",6.1,5.5,5.1,4.6,4.6,7.1     ,4.6
"Alleghany County, VA",5.0,5.0,4.5,3.7,3.3,6.5     ,4.1
"Allegheny County, PA",5.0,5.1,4.8,4.2,4.2,9.0     ,6.1
"Allen County, IN",4.6,4.2,3.3,3.1,3.1,7.8     ,3.7
"Allen County, KS",5.1,5.6,4.8,3.9,3.5,5.2     ,3.0
"Allen County, KY",4.8,4.2,4.0,3.7,4.0,5.4     ,4.0
"Allen County, OH",4.9,5.0,5.0,4.5,4.1,8.6     ,5.7
"Allen Parish, LA",6.9,6.4,5.3,5.6,5.4,9.7     ,5.5
"Allendale County, SC",11.2,8.4,6.8,5.6,5.2,9.3     ,7.8
"Alpena County, MI",6.3,6.0,5.6,5.2,4.8,8.1     ,5.5
"Alpine County, CA",7.5,6.5,6.2,4.6,5.2,11.7     ,8.1
"Amador County, CA",6.6,6.0,5.0,4.1,3.9,9.5     ,7.0
"Amelia County, VA",4.4,4.2,3.9,3.2,3.1,5.8     ,3.6
"Amherst County, VA",4.7,4.3,4.0,3.3,3.2,5.5     ,3.7
"Amite County, MS",7.7,7.5,7.0,6.3,7.0,8.2     ,7.3
"Anchorage Borough/municipality, AK",4.9,5.3,5.4,5.0,4.5,7.8     ,5.8
"Anderson County, KS",4.8,4.3,3.9,3.4,3.2,3.9     ,2.5
"Anderson County, KY",4.1,4.0,4.0,3.5,3.5,5.9     ,4.0
"Anderson County, SC",5.3,4.5,3.9,3.2,2.7,5.8     ,3.7
"Anderson County, TN",5.8,4.9,3.9,3.8,3.6,6.7     ,3.8
"Anderson County, TX",4.0,4.3,3.7,3.1,2.9,5.7     ,4.8
"Andrew County, MO",4.2,3.7,3.2,2.6,2.6,4.0     ,3.0
"Andrews County, TX",3.5,4.7,3.1,2.4,2.3,8.2     ,5.9
"Androscoggin County, ME",4.2,3.6,3.2,3.0,2.7,5.1     ,4.9
"Angelina County, TX",5.6,5.9,5.1,4.4,4.0,7.6     ,6.5
"Anne Arundel County, MD",4.3,3.7,3.4,3.1,2.9,5.8     ,4.7
"Anoka County, MN",3.7,3.7,3.4,3.0,3.3,6.5     ,3.4
"Anson County, NC",6.5,5.8,5.2,4.5,4.1,7.4     ,6.3
"Antelope County, NE",2.6,2.6,2.5,2.5,2.5,2.2     ,1.7
"Antrim County, MI",7.6,7.1,6.5,5.7,5.2,10.2     ,7.0
"Apache County, AZ",13.3,11.6,10.4,9.9,10.0,12.5     ,9.1
"Appanoose County, IA",4.8,4.7,3.7,3.3,3.4,5.2     ,4.3
"Appling County, GA",7.4,6.5,5.5,4.4,4.1,4.7     ,3.6
"Appomattox County, VA",4.8,4.6,4.3,3.6,3.4,5.7     ,3.9
"Aransas County, TX",5.1,5.6,6.9,6.0,4.3,8.4     ,7.3
"Arapahoe County, CO",3.6,3.0,2.6,3.0,2.5,7.5     ,5.8
"Archer County, TX",4.5,4.3,3.4,3.1,2.8,5.3     ,4.2
"Archuleta County, CO",3.9,3.1,2.8,3.2,3.0,7.2     ,4.9
"Arenac County, MI",9.1,8.4,8.0,7.1,6.7,11.8     ,8.3
"Arkansas County, AR",4.1,3.4,3.3,3.3,2.9,4.0     ,3.4
"Arlington County, VA",2.8,2.6,2.5,2.0,1.9,4.4     ,3.0
"Armstrong County, PA",6.8,7.4,6.3,5.2,5.2,9.8     ,7.6
"Armstrong County, TX",2.7,2.8,2.6,2.7,2.7,4.3     ,3.6
"Aroostook County, ME",5.9,5.4,4.9,4.4,4.2,5.1     ,5.7
"Arthur County, NE",4.4,5.7,5.8,4.9,5.6,5.1     ,2.6
"Ascension Parish, LA",5.0,4.9,4.3,4.1,4.0,7.1     ,4.2
"Ashe County, NC",5.9,4.8,4.1,3.7,3.6,6.1     ,4.0
"Ashland County, OH",5.1,5.1,4.9,4.6,4.2,6.5     ,4.3
"Ashland County, WI",6.1,5.3,4.5,4.2,4.6,8.6     ,5.0
"Ashley County, AR",7.5,6.1,5.6,5.2,5.3,9.4     ,7.4
"Ashtabula County, OH",6.0,6.1,5.9,5.2,4.8,8.3     ,5.5
"Asotin County, WA",4.6,4.9,4.1,4.3,4.2,5.1     ,3.7
"Assumption Parish, LA",7.8,8.4,7.3,6.6,5.8,10.7     ,7.2
"Atascosa County, TX",4.8,5.3,4.3,3.8,3.6,8.5     ,6.2
"Atchison County, KS",6.1,6.2,5.2,4.5,5.1,6.6     ,3.8
"Atchison County, MO",4.5,4.5,3.5,2.4,3.5,4.0     ,3.2
"Athens County, OH",6.3,6.4,6.0,5.6,5.3,7.6     ,5.6
"Atkinson County, GA",5.8,5.3,4.5,3.6,3.3,3.9     ,2.9
"Atlantic County, NJ",9.5,7.4,7.1,5.7,4.8,17.2     ,9.5
"Atoka County, OK",6.3,6.4,5.0,4.0,4.1,7.2     ,4.7
"Attala County, MS",7.7,6.8,6.2,5.8,6.3,8.2     ,6.0
"Audrain County, MO",4.7,4.2,3.5,3.0,3.2,5.8     ,3.7
"Audubon County, IA",3.9,3.3,3.0,2.5,2.4,3.4     ,3.2
"Auglaize County, OH",3.7,3.8,3.7,3.3,3.0,6.9     ,3.7
"Augusta County, VA",4.0,3.6,3.4,2.7,2.4,4.6     ,3.1
"Aurora County, SD",2.2,2.2,2.6,2.7,2.3,3.0     ,2.4
"Austin County, TX",4.6,5.3,4.4,3.7,3.4,6.6     ,5.5
"Autauga County, AL",5.2,5.1,4.0,3.6,2.9,5.4     ,2.8
"Avery County, NC",5.9,5.0,4.3,3.7,3.6,6.1     ,3.9
"Avoyelles Parish, LA",7.5,7.1,6.1,5.6,5.6,8.5     ,5.2
"Baca County, CO",2.0,1.6,1.5,1.7,1.6,2.3     ,2.1
"Bacon County, GA",5.8,5.3,4.5,3.9,3.8,4.6     ,3.2
"Bailey County, TX",4.3,4.4,4.3,4.4,3.7,4.8     ,4.9
"Baker County, FL",5.6,4.9,4.2,3.5,3.2,5.4     ,3.7
"Baker County, GA",7.4,7.8,6.2,5.3,4.8,6.0     ,4.9
"Baker County, OR",6.6,6.2,5.4,5.2,4.5,7.2     ,5.1
"Baldwin County, AL",5.6,5.4,4.2,3.6,2.9,6.2     ,3.0
"Baldwin County, GA",7.8,6.9,5.9,5.0,4.4,6.9     ,4.8
"Ballard County, KY",6.8,8.8,7.5,6.8,5.4,6.3     ,5.0
"Baltimore County, MD",5.2,4.5,4.2,3.7,3.5,6.8     ,5.7
"Baltimore city, MD",7.4,6.4,5.9,5.3,4.9,8.7     ,7.6
"Bamberg County, SC",10.4,8.8,7.4,6.4,5.4,8.8     ,7.5
"Bandera County, TX",4.0,4.1,3.6,3.4,3.3,5.8     ,4.7
"Banks County, GA",5.7,4.9,3.9,3.2,2.8,4.3     ,2.6
"Banner County, NE",3.4,3.6,3.6,3.6,3.6,2.8     ,2.1
"Bannock County, ID",3.7,3.5,3.1,2.8,2.9,5.0     ,3.6
"Baraga County, MI",9.2,8.3,7.6,6.2,6.4,12.3     ,7.9
"Barber County, KS",4.2,3.7,2.8,2.5,2.4,3.1     ,1.9
"Barbour County, AL",8.9,8.4,6.0,5.1,4.0,7.8     ,5.7
"Barbour County, WV",7.2,6.8,5.8,5.9,6.0,8.1     ,5.3
"Barnes County, ND",3.2,3.2,2.8,2.4,2.7,3.9     ,3.1
"Barnstable County, MA",6.1,5.1,4.8,4.4,4.1,10.8     ,6.7
"Barnwell County, SC",8.9,7.2,5.9,4.7,4.2,7.2     ,6.5
"Barren County, KY",5.1,4.6,4.5,4.3,4.3,7.3     ,5.3
"Barron County, WI",4.9,4.4,3.5,3.3,3.8,6.1     ,3.9
"Barrow County, GA",5.4,4.8,4.1,3.3,3.0,5.0     ,2.9
"Barry County, MI",4.3,4.0,3.9,3.4,3.3,7.7     ,4.6
"Barry County, MO",5.1,4.5,3.3,2.9,3.3,6.5     ,4.6
"Bartholomew County, IN",3.6,3.3,2.7,2.6,2.5,6.6     ,2.9
"Barton County, KS",4.2,4.5,3.6,3.2,3.1,4.4     ,2.9
"Barton County, MO",5.5,5.2,4.1,3.0,3.2,4.9     ,3.4
"Bartow County, GA",6.0,5.2,4.7,3.9,3.5,6.2     ,3.5
"Bastrop County, TX",3.9,3.7,3.6,3.4,3.1,6.0     ,4.5
"Bates County, MO",6.2,5.3,4.4,3.8,3.9,5.3     ,4.3
"Bath County, KY",7.6,7.3,7.8,6.6,5.9,8.0     ,5.8
"Bath County, VA",4.0,3.6,3.0,2.4,2.4,9.9     ,4.6
"Baxter County, AR",5.4,4.3,4.3,4.1,3.9,6.0     ,3.7
"Bay County, FL",5.5,4.8,4.2,4.2,3.8,6.4     ,3.9
"Bay County, MI",5.8,5.5,5.5,4.8,4.7,9.6     ,6.1
"Bayfield County, WI",8.1,6.7,5.1,4.8,5.3,9.2     ,5.7
"Baylor County, TX",3.6,3.6,3.4,3.2,2.3,3.4     ,3.4
"Beadle County, SD",2.6,2.6,2.6,2.4,2.7,3.6     ,2.8
"Bear Lake County, ID",4.2,4.4,3.2,2.9,3.0,4.3     ,3.0
"Beaufort County, NC",6.5,5.7,5.1,4.7,4.5,6.1     ,4.8
"Beaufort County, SC",5.4,4.7,4.0,3.2,2.6,5.3     ,3.5
"Beauregard Parish, LA",6.3,6.1,5.3,5.3,5.0,7.2     ,4.1
"Beaver County, OK",2.6,3.0,2.4,1.9,1.9,2.7     ,1.7
"Beaver County, PA",6.2,6.1,5.6,4.7,4.6,10.3     ,7.2
"Beaver County, UT",3.7,4.8,3.9,3.3,3.0,4.0     ,2.8
"Beaverhead County, MT",3.5,3.4,3.2,3.1,3.0,3.9     ,2.8
"Becker County, MN",4.5,4.6,4.2,3.8,4.2,6.4     ,3.4
"Beckham County, OK",5.0,6.9,3.7,2.5,3.0,7.7     ,4.3
"Bedford County, PA",6.2,5.8,5.3,4.7,4.8,9.0     ,5.9
"Bedford County, TN",6.4,5.0,3.9,3.8,3.7,7.9     ,4.1
"Bedford County, VA",4.4,4.0,3.8,3.0,2.8,5.1     ,3.4
"Bee County, TX",6.2,7.5,6.5,5.1,4.4,9.9     ,8.7
"Belknap County, NH",3.4,2.8,2.8,2.6,2.6,7.0     ,3.7
"Bell County, KY",8.5,9.1,7.8,6.1,6.1,7.5     ,5.7
"Bell County, TX",4.7,4.5,4.3,4.2,3.9,7.0     ,5.7
"Belmont County, OH",6.4,7.5,6.3,5.5,5.7,10.1     ,6.1
"Beltrami County, MN",5.0,5.2,4.9,4.4,4.5,6.5     ,3.7
"Ben Hill County, GA",9.2,8.3,7.8,5.9,5.7,6.8     ,5.2
"Benewah County, ID",6.1,5.7,5.6,4.6,5.3,7.7     ,5.6
"Bennett County, SD",4.9,4.0,4.1,4.1,4.7,4.8     ,4.3
"Bennington County, VT",4.2,3.6,3.6,3.1,2.9,6.5     ,4.3
"Benson County, ND",4.6,4.0,3.6,3.5,3.8,6.8     ,5.0
"Bent County, CO",3.8,2.9,2.6,3.0,2.6,4.1     ,6.1
