,County,Sites
0,"Aleutians East Borough, AK",6
1,"Aleutians West Census Area, AK",2
2,"Anchorage Municipality, AK",38
3,"Bethel Census Area, AK",1
4,"Bristol Bay Borough, AK",1
5,"Dillingham Census Area, AK",1
6,"Fairbanks North Star Borough, AK",10
7,"Juneau City and Borough, AK",8
8,"Kenai Peninsula Borough, AK",10
9,"Ketchikan Gateway Borough, AK",3
10,"Kodiak Island Borough, AK",2
11,"Matanuska-Susitna Borough, AK",10
12,"Nome Census Area, AK",1
13,"North Slope Borough, AK",2
14,"Petersburg Borough, AK",1
15,"Sitka City and Borough, AK",1
16,"Southeast Fairbanks Census Area, AK",2
17,"Valdez-Cordova Census Area, AK",3
18,"Yukon-Koyukuk Census Area, AK",1
19,"Autauga County, AL",5
20,"Baldwin County, AL",24
21,"Barbour County, AL",4
22,"Bibb County, AL",2
23,"Blount County, AL",3
24,"Bullock County, AL",2
25,"Butler County, AL",1
26,"Calhoun County, AL",26
27,"Chambers County, AL",6
28,"Cherokee County, AL",8
29,"Chilton County, AL",3
30,"Clarke County, AL",3
31,"Cleburne County, AL",3
32,"Coffee County, AL",4
33,"Colbert County, AL",5
34,"Conecuh County, AL",1
35,"Covington County, AL",4
36,"Crenshaw County, AL",1
37,"Cullman County, AL",11
38,"Dale County, AL",5
39,"Dallas County, AL",3
40,"DeKalb County, AL",5
41,"Elmore County, AL",10
42,"Escambia County, AL",4
43,"Etowah County, AL",22
44,"Fayette County, AL",1
45,"Franklin County, AL",2
46,"Geneva County, AL",1
47,"Hale County, AL",1
48,"Houston County, AL",16
49,"Jackson County, AL",2
50,"Jefferson County, AL",78
51,"Lauderdale County, AL",9
52,"Lawrence County, AL",1
53,"Lee County, AL",26
54,"Limestone County, AL",5
55,"Lowndes County, AL",1
56,"Macon County, AL",2
57,"Madison County, AL",50
58,"Marengo County, AL",3
59,"Marion County, AL",2
60,"Marshall County, AL",8
61,"Mobile County, AL",52
62,"Monroe County, AL",2
63,"Montgomery County, AL",29
64,"Morgan County, AL",15
65,"Pickens County, AL",2
66,"Pike County, AL",3
67,"Randolph County, AL",1
68,"Russell County, AL",6
69,"Shelby County, AL",23
70,"St. Clair County, AL",4
71,"Talladega County, AL",6
72,"Tallapoosa County, AL",5
73,"Tuscaloosa County, AL",29
74,"Walker County, AL",4
75,"Wilcox County, AL",2
76,"Winston County, AL",2
77,"Arkansas County, AR",7
78,"Ashley County, AR",2
79,"Baxter County, AR",6
80,"Benton County, AR",25
81,"Boone County, AR",5
82,"Bradley County, AR",2
83,"Calhoun County, AR",1
84,"Carroll County, AR",6
85,"Chicot County, AR",1
86,"Clark County, AR",3
87,"Clay County, AR",2
88,"Cleburne County, AR",5
89,"Cleveland County, AR",1
90,"Columbia County, AR",3
91,"Conway County, AR",4
92,"Craighead County, AR",20
93,"Crawford County, AR",8
94,"Crittenden County, AR",9
95,"Cross County, AR",4
96,"Dallas County, AR",2
97,"Desha County, AR",2
98,"Drew County, AR",4
99,"Faulkner County, AR",18
100,"Franklin County, AR",5
101,"Fulton County, AR",2
102,"Garland County, AR",21
103,"Grant County, AR",2
104,"Greene County, AR",7
105,"Hempstead County, AR",3
106,"Hot Spring County, AR",4
107,"Howard County, AR",3
108,"Independence County, AR",7
109,"Izard County, AR",2
110,"Jackson County, AR",5
111,"Jefferson County, AR",9
112,"Johnson County, AR",4
113,"Lafayette County, AR",1
114,"Lawrence County, AR",4
115,"Lee County, AR",1
116,"Lincoln County, AR",1
117,"Little River County, AR",2
118,"Logan County, AR",6
119,"Lonoke County, AR",10
120,"Madison County, AR",3
121,"Marion County, AR",2
122,"Miller County, AR",4
123,"Mississippi County, AR",7
124,"Monroe County, AR",1
125,"Montgomery County, AR",1
126,"Nevada County, AR",1
127,"Newton County, AR",1
128,"Ouachita County, AR",4
129,"Perry County, AR",1
130,"Phillips County, AR",2
131,"Pike County, AR",2
132,"Poinsett County, AR",5
133,"Polk County, AR",4
134,"Pope County, AR",10
135,"Prairie County, AR",1
136,"Pulaski County, AR",58
137,"Randolph County, AR",4
138,"Saline County, AR",14
139,"Scott County, AR",3
140,"Searcy County, AR",2
141,"Sebastian County, AR",21
142,"Sevier County, AR",2
143,"Sharp County, AR",4
144,"St. Francis County, AR",4
145,"Stone County, AR",2
146,"Union County, AR",3
147,"Van Buren County, AR",5
148,"Washington County, AR",23
149,"White County, AR",10
150,"Woodruff County, AR",1
151,"Yell County, AR",6
152,"Apache County, AZ",9
153,"Cochise County, AZ",13
154,"Coconino County, AZ",14
155,"Gila County, AZ",13
156,"Graham County, AZ",5
157,"Greenlee County, AZ",2
158,"La Paz County, AZ",2
159,"Maricopa County, AZ",484
160,"Mohave County, AZ",34
161,"Navajo County, AZ",20
162,"Pima County, AZ",123
163,"Pinal County, AZ",44
164,"Santa Cruz County, AZ",1
165,"Yavapai County, AZ",26
166,"Yuma County, AZ",19
167,"Alameda County, CA",116
168,"Alpine County, CA",1
169,"Amador County, CA",5
170,"Butte County, CA",19
171,"Calaveras County, CA",3
172,"Colusa County, CA",1
173,"Contra Costa County, CA",94
174,"Del Norte County, CA",6
175,"El Dorado County, CA",21
176,"Fresno County, CA",86
177,"Glenn County, CA",3
178,"Humboldt County, CA",29
179,"Imperial County, CA",13
180,"Inyo County, CA",4
181,"Kern County, CA",116
182,"Kings County, CA",13
183,"Lake County, CA",6
184,"Lassen County, CA",3
185,"Los Angeles County, CA",774
186,"Madera County, CA",9
187,"Marin County, CA",31
188,"Mariposa County, CA",1
189,"Mendocino County, CA",16
190,"Merced County, CA",14
191,"Modoc County, CA",2
192,"Mono County, CA",9
193,"Monterey County, CA",37
194,"Napa County, CA",14
195,"Nevada County, CA",10
196,"Orange County, CA",270
197,"Placer County, CA",36
198,"Plumas County, CA",1
199,"Riverside County, CA",215
200,"Sacramento County, CA",132
201,"San Benito County, CA",3
202,"San Bernardino County, CA",202
203,"San Diego County, CA",278
204,"San Francisco County, CA",44
205,"San Joaquin County, CA",69
206,"San Luis Obispo County, CA",34
207,"San Mateo County, CA",38
208,"Santa Barbara County, CA",48
209,"Santa Clara County, CA",123
210,"Santa Cruz County, CA",30
211,"Shasta County, CA",39
212,"Sierra County, CA",1
213,"Siskiyou County, CA",16
214,"Solano County, CA",33
215,"Sonoma County, CA",56
216,"Stanislaus County, CA",46
217,"Sutter County, CA",14
218,"Tehama County, CA",6
219,"Trinity County, CA",2
220,"Tulare County, CA",43
221,"Tuolumne County, CA",4
222,"Ventura County, CA",92
223,"Yolo County, CA",26
224,"Yuba County, CA",5
225,"Adams County, CO",41
226,"Alamosa County, CO",7
227,"Arapahoe County, CO",79
228,"Archuleta County, CO",3
229,"Baca County, CO",2
230,"Bent County, CO",2
231,"Boulder County, CO",33
232,"Broomfield County, CO",10
233,"Chaffee County, CO",6
234,"Cheyenne County, CO",2
235,"Clear Creek County, CO",2
236,"Conejos County, CO",2
237,"Crowley County, CO",2
238,"Custer County, CO",1
239,"Delta County, CO",5
240,"Denver County, CO",66
241,"Dolores County, CO",1
242,"Douglas County, CO",36
243,"Eagle County, CO",5
244,"El Paso County, CO",67
245,"Elbert County, CO",1
246,"Fremont County, CO",6
247,"Garfield County, CO",9
248,"Gilpin County, CO",1
249,"Grand County, CO",5
250,"Gunnison County, CO",2
251,"Hinsdale County, CO",1
252,"Huerfano County, CO",1
253,"Jackson County, CO",1
254,"Jefferson County, CO",55
255,"Kiowa County, CO",2
256,"Kit Carson County, CO",1
257,"La Plata County, CO",12
258,"Lake County, CO",3
259,"Larimer County, CO",39
260,"Las Animas County, CO",5
261,"Lincoln County, CO",2
262,"Logan County, CO",5
263,"Mesa County, CO",19
264,"Mineral County, CO",1
265,"Moffat County, CO",5
266,"Montezuma County, CO",5
267,"Montrose County, CO",8
268,"Morgan County, CO",7
269,"Otero County, CO",7
270,"Park County, CO",1
271,"Phillips County, CO",3
272,"Pitkin County, CO",3
273,"Prowers County, CO",4
274,"Pueblo County, CO",16
275,"Rio Blanco County, CO",3
276,"Rio Grande County, CO",3
277,"Routt County, CO",6
278,"Saguache County, CO",3
279,"San Juan County, CO",1
280,"San Miguel County, CO",2
281,"Sedgwick County, CO",2
282,"Summit County, CO",5
283,"Teller County, CO",3
284,"Washington County, CO",2
285,"Weld County, CO",21
286,"Yuma County, CO",3
287,"Fairfield County, CT",80
288,"Hartford County, CT",93
289,"Litchfield County, CT",14
290,"Middlesex County, CT",18
291,"New Haven County, CT",92
292,"New London County, CT",17
293,"Tolland County, CT",12
294,"Windham County, CT",7
295,"District of Columbia, DC",87
296,"Kent County, DE",28
297,"New Castle County, DE",52
298,"Sussex County, DE",31
299,"Alachua County, FL",55
300,"Baker County, FL",6
301,"Bay County, FL",38
302,"Bradford County, FL",7
303,"Brevard County, FL",75
304,"Broward County, FL",378
305,"Calhoun County, FL",1
306,"Charlotte County, FL",29
307,"Citrus County, FL",29
308,"Clay County, FL",32
309,"Collier County, FL",56
310,"Columbia County, FL",11
311,"DeSoto County, FL",7
312,"Dixie County, FL",2
313,"Duval County, FL",177
314,"Escambia County, FL",47
315,"Flagler County, FL",22
316,"Franklin County, FL",6
317,"Gadsden County, FL",9
318,"Gilchrist County, FL",2
319,"Glades County, FL",1
320,"Gulf County, FL",6
321,"Hamilton County, FL",3
322,"Hardee County, FL",5
323,"Hendry County, FL",14
324,"Hernando County, FL",28
325,"Highlands County, FL",16
326,"Hillsborough County, FL",179
327,"Holmes County, FL",2
328,"Indian River County, FL",32
329,"Jackson County, FL",6
330,"Jefferson County, FL",4
331,"Lafayette County, FL",1
332,"Lake County, FL",54
333,"Lee County, FL",106
334,"Leon County, FL",56
335,"Levy County, FL",9
336,"Liberty County, FL",3
337,"Madison County, FL",5
338,"Manatee County, FL",55
339,"Marion County, FL",59
340,"Martin County, FL",36
341,"Miami-Dade County, FL",437
342,"Monroe County, FL",23
343,"Nassau County, FL",18
344,"Okaloosa County, FL",33
345,"Okeechobee County, FL",9
346,"Orange County, FL",167
347,"Osceola County, FL",40
348,"Palm Beach County, FL",274
349,"Pasco County, FL",78
350,"Pinellas County, FL",152
351,"Polk County, FL",90
352,"Putnam County, FL",14
353,"Santa Rosa County, FL",22
354,"Sarasota County, FL",69
355,"Seminole County, FL",55
356,"St. Johns County, FL",41
357,"St. Lucie County, FL",60
358,"Sumter County, FL",24
359,"Suwannee County, FL",5
360,"Taylor County, FL",7
361,"Union County, FL",2
362,"Volusia County, FL",94
363,"Wakulla County, FL",7
364,"Walton County, FL",12
365,"Washington County, FL",3
366,"Appling County, GA",5
367,"Bacon County, GA",1
368,"Baker County, GA",1
369,"Baldwin County, GA",6
370,"Banks County, GA",2
371,"Barrow County, GA",11
372,"Bartow County, GA",10
373,"Ben Hill County, GA",5
374,"Berrien County, GA",2
375,"Bibb County, GA",35
376,"Bleckley County, GA",3
377,"Brantley County, GA",1
378,"Brooks County, GA",1
379,"Bryan County, GA",7
380,"Bulloch County, GA",13
381,"Burke County, GA",5
382,"Butts County, GA",2
383,"Calhoun County, GA",2
384,"Camden County, GA",7
385,"Candler County, GA",2
386,"Carroll County, GA",14
387,"Catoosa County, GA",7
388,"Charlton County, GA",2
389,"Chatham County, GA",53
390,"Chattahoochee County, GA",1
391,"Chattooga County, GA",4
392,"Cherokee County, GA",25
393,"Clarke County, GA",26
394,"Clay County, GA",1
395,"Clayton County, GA",21
396,"Clinch County, GA",1
397,"Cobb County, GA",116
398,"Coffee County, GA",8
399,"Colquitt County, GA",6
400,"Columbia County, GA",21
401,"Cook County, GA",3
402,"Coweta County, GA",19
403,"Crawford County, GA",2
404,"Crisp County, GA",7
405,"Dade County, GA",3
406,"Dawson County, GA",7
407,"Decatur County, GA",7
408,"DeKalb County, GA",80
409,"Dodge County, GA",5
410,"Dooly County, GA",2
411,"Dougherty County, GA",17
412,"Douglas County, GA",17
413,"Early County, GA",3
414,"Echols County, GA",1
415,"Effingham County, GA",6
416,"Elbert County, GA",7
417,"Emanuel County, GA",5
418,"Evans County, GA",3
419,"Fannin County, GA",6
420,"Fayette County, GA",20
421,"Floyd County, GA",13
422,"Forsyth County, GA",33
423,"Franklin County, GA",4
424,"Fulton County, GA",122
425,"Gilmer County, GA",5
426,"Glascock County, GA",1
427,"Glynn County, GA",17
428,"Gordon County, GA",7
429,"Grady County, GA",3
430,"Greene County, GA",4
431,"Gwinnett County, GA",89
432,"Habersham County, GA",10
433,"Hall County, GA",28
434,"Hancock County, GA",1
435,"Haralson County, GA",6
436,"Harris County, GA",3
437,"Hart County, GA",5
438,"Henry County, GA",28
439,"Houston County, GA",26
440,"Irwin County, GA",2
441,"Jackson County, GA",12
442,"Jasper County, GA",3
443,"Jeff Davis County, GA",2
444,"Jenkins County, GA",1
445,"Johnson County, GA",2
446,"Jones County, GA",5
447,"Lamar County, GA",3
448,"Lanier County, GA",1
449,"Laurens County, GA",5
450,"Lee County, GA",5
451,"Liberty County, GA",10
452,"Lincoln County, GA",1
453,"Long County, GA",3
454,"Lowndes County, GA",19
455,"Lumpkin County, GA",4
456,"Macon County, GA",2
457,"Madison County, GA",4
458,"Marion County, GA",1
459,"McDuffie County, GA",4
460,"McIntosh County, GA",3
461,"Meriwether County, GA",5
462,"Miller County, GA",2
463,"Mitchell County, GA",3
464,"Monroe County, GA",4
465,"Montgomery County, GA",1
466,"Morgan County, GA",2
467,"Murray County, GA",5
468,"Muscogee County, GA",30
469,"Newton County, GA",8
470,"Oconee County, GA",6
471,"Oglethorpe County, GA",1
472,"Paulding County, GA",16
473,"Peach County, GA",5
474,"Pickens County, GA",7
475,"Pierce County, GA",1
476,"Pike County, GA",1
477,"Polk County, GA",5
478,"Pulaski County, GA",4
479,"Putnam County, GA",3
480,"Quitman County, GA",1
481,"Rabun County, GA",6
482,"Randolph County, GA",2
483,"Richmond County, GA",20
484,"Rockdale County, GA",12
485,"Schley County, GA",1
486,"Screven County, GA",2
487,"Seminole County, GA",1
488,"Spalding County, GA",8
489,"Stephens County, GA",4
490,"Stewart County, GA",2
491,"Sumter County, GA",4
492,"Talbot County, GA",1
493,"Tattnall County, GA",5
494,"Taylor County, GA",2
495,"Telfair County, GA",3
496,"Terrell County, GA",1
497,"Thomas County, GA",5
498,"Tift County, GA",12
499,"Toombs County, GA",2
500,"Towns County, GA",4
501,"Treutlen County, GA",1
502,"Troup County, GA",8
503,"Turner County, GA",1
504,"Twiggs County, GA",2
505,"Union County, GA",4
506,"Upson County, GA",3
